Criterio,Modelo_1,Modelo_2
AIC,9215275.38251594,9201150.863862768
BIC,-166711240.27800906,-166725322.34123775
Log-Likelihood,-4607627.69125797,-4600562.431931384
Pseudo R²,1.0,1.0
