Variable,VIF
indigena_x_logpib,77.6689254933658
pob_indigena_pct,75.33861092267831
indigena_x_amazonia,6.207573349133428
costa,3.471481808290407
amazonia,3.296453052551766
altitud,3.282034421857489
electricidad,2.5111417170924586
log_pib_pc,2.3805005959011596
agua_publica,1.8581032516215426
tasa_homicidios,1.8064475262975643
log_poblacion,1.594007470011909
indigena_x_costa,1.1241878004647214
