,count,mean,std,min,25%,50%,75%,max
prop_gonzalez,218.0,0.4659977064220183,0.15730527379977496,0.1646,0.3387,0.46840000000000004,0.58745,0.8493999999999999
pob_indigena_pct,218.0,12.850366972477065,22.626645355620937,0.0,0.325,1.45,12.475,97.7
log_pib_pc,218.0,8.038315875391126,0.7578644837729817,6.872128101338986,7.530988887889907,7.859404135664998,8.256930292740467,11.80876914074264
agua_publica,218.0,74.93784403669724,18.926025078825166,19.4,67.42500000000001,78.30000000000001,89.3,99.1
electricidad,218.0,95.36059633027523,5.693014404233205,43.2,94.8,96.7,98.1,99.7
tasa_homicidios,218.0,29.5704128440367,40.260462810645784,0.0,2.24,10.705,46.3575,239.6
altitud,218.0,1208.4633027522937,1200.8195170265974,0.0,92.0,780.5,2345.5,5280.0
